time,heterotypic_voronoi_length,heterotypic_connections
0.0,9.91,10.0
10.0,10.275037672856195,19.0
20.0,10.487213900427733,19.0
30.0,10.61983406683712,19.0
40.0,10.606697003976397,19.0
50.0,10.731391614174825,19.0
60.0,10.925519378191428,19.0
70.0,10.951816862685654,19.0
80.0,10.872553190059568,19.0
90.0,10.656470373688071,19.0
100.0,10.884346193042388,18.0
110.0,10.862713232777995,18.0
120.0,11.13423647414604,18.0
130.0,10.92920989162509,18.0
140.0,11.318036996717991,19.0
150.0,11.252529503159222,20.0
160.0,11.200122688265292,20.0
170.0,11.270070994667549,18.0
180.0,11.067715217161615,20.0
190.0,11.429179147075713,20.0
200.0,11.222755008081037,19.0
210.0,10.893063092831518,19.0
220.0,11.035845628491314,19.0
230.0,11.272479403832206,19.0
240.0,11.40188469022489,19.0
250.0,11.563379966247492,20.0
260.0,11.601400433446882,19.0
270.0,11.554633180957719,19.0
280.0,11.731944729068307,19.0
290.0,11.422342998948675,19.0
300.0,11.433418131432477,20.0
310.0,11.307944829514028,20.0
320.0,11.196895599301921,19.0
330.0,11.158155497779628,19.0
340.0,11.611575045572692,19.0
350.0,11.355206201661668,19.0
360.0,11.047742640909057,18.0
370.0,10.96323853128188,18.0
380.0,11.546128376924631,20.0
390.0,11.830241046388588,19.0
400.0,11.91020642420146,19.0
410.0,11.613067416385128,22.0
420.0,11.73248506829462,21.0
430.0,12.053008568131027,20.0
440.0,11.92184673033354,20.0
450.0,11.63267621345058,21.0
460.0,11.537520003309721,20.0
470.0,11.628513838199172,20.0
480.0,11.632727273341654,19.0
490.0,11.77854476364635,20.0
500.0,11.802684758546727,19.0
510.0,11.866550301430273,20.0
520.0,11.60741224995823,21.0
530.0,11.600469655071507,21.0
540.0,11.670313939492118,20.0
550.0,11.904074606596755,18.0
560.0,12.141577502806431,20.0
570.0,11.916711341600289,19.0
580.0,12.121381675548612,20.0
590.0,12.085590569551053,20.0
600.0,11.883993977695168,21.0
610.0,11.789152375302715,22.0
620.0,11.58222297193275,20.0
630.0,11.457711543870468,21.0
640.0,12.044336027387322,20.0
650.0,12.42559157288774,20.0
660.0,12.250064558834616,21.0
670.0,11.853554485651111,21.0
680.0,11.711376869314442,20.0
690.0,12.28917391352425,21.0
700.0,12.018074230886723,19.0
710.0,12.078249674608397,21.0
720.0,12.111995489696744,22.0
730.0,12.049552961576005,22.0
740.0,12.325617773537154,23.0
750.0,12.049950094799721,21.0
760.0,12.379064939817077,21.0
770.0,12.540728879333871,22.0
780.0,12.434570364112517,21.0
790.0,12.077464914199682,21.0
800.0,11.9727856549809,21.0
810.0,11.964788127214087,21.0
820.0,12.233468183795432,20.0
830.0,12.731431715799769,22.0
840.0,12.652954407906845,20.0
850.0,12.049697316119731,20.0
860.0,12.110589044933027,20.0
870.0,12.331615819538552,19.0
880.0,12.465101922982962,20.0
890.0,12.483136551895461,19.0
900.0,12.664320395682338,19.0
910.0,12.213918525756775,19.0
920.0,12.752141280926132,19.0
930.0,12.80916232910935,20.0
940.0,12.948575575293104,21.0
950.0,12.436103683089303,21.0
960.0,12.263593327703134,20.0
970.0,12.346955733045837,20.0
980.0,12.54696586278358,20.0
990.0,12.395244348903214,20.0
1000.0,12.446864589909964,22.0
