time,heterotypic_voronoi_length,heterotypic_connections
0.0,178.3800000000001,180.0
10.0,168.80860729334907,180.0
20.0,163.0974144061564,180.0
30.0,159.98538300938876,180.0
40.0,155.72811503253928,180.0
50.0,151.04428033947076,180.0
60.0,147.3463560019401,180.0
70.0,144.12811719935212,179.0
80.0,141.1058912181254,179.0
90.0,136.91789680696897,178.0
100.0,135.77676644651254,178.0
110.0,130.43597759658618,176.0
120.0,127.01636002090073,174.0
130.0,126.59305793551492,170.0
140.0,123.44661701824478,174.0
150.0,121.43753856848996,171.0
160.0,120.97893116064714,172.0
170.0,119.28225958797735,171.0
180.0,116.30186209394716,169.0
190.0,114.32489308625449,170.0
200.0,111.3631417148838,170.0
210.0,109.15815181384662,168.0
220.0,107.53754882353714,168.0
230.0,106.46540101989433,169.0
240.0,105.74040982216506,167.0
250.0,103.59988284411581,165.0
260.0,105.35162584268129,164.0
270.0,104.58590415487912,164.0
280.0,100.81124948605586,161.0
290.0,100.9305447456602,159.0
300.0,102.29276176558649,159.0
310.0,100.30306693392232,156.0
320.0,101.01516222855298,158.0
330.0,97.40057407313166,155.0
340.0,96.66441478909441,155.0
350.0,97.36648460523163,155.0
360.0,97.60584420910963,149.0
370.0,96.4286513795238,148.0
380.0,96.67302687036405,154.0
390.0,95.81825472252314,151.0
400.0,93.93754601086886,151.0
410.0,94.20603483289615,148.0
420.0,90.84504904658438,144.0
430.0,92.15916000557165,149.0
440.0,92.95169017536425,149.0
450.0,89.811469745907,150.0
460.0,90.13677879922385,146.0
470.0,86.97580142570028,146.0
480.0,87.41887406958594,149.0
490.0,87.35910754446483,146.0
500.0,85.94514643816466,147.0
510.0,85.93268621039904,146.0
520.0,86.85616812908648,146.0
530.0,86.67103390287322,150.0
540.0,86.51057553699378,150.0
550.0,87.71929475272151,152.0
560.0,85.89676728484719,149.0
570.0,85.82112399897193,147.0
580.0,86.50957328120246,147.0
590.0,87.43677121715085,143.0
600.0,87.21842027884952,146.0
610.0,87.4208554351563,145.0
620.0,84.29650322378463,141.0
630.0,84.41308956927742,142.0
640.0,83.55881407869919,139.0
650.0,83.85718862689117,140.0
660.0,83.56938592675394,139.0
670.0,83.28586700941307,140.0
680.0,83.03357278888734,142.0
690.0,79.76833202438243,138.0
700.0,79.84371474880672,137.0
710.0,81.54777177555201,141.0
720.0,81.25199056419778,140.0
730.0,81.07759737752396,139.0
740.0,81.32983062071268,139.0
750.0,80.64292769536713,138.0
760.0,81.26360472887865,139.0
770.0,81.96033695246554,138.0
780.0,82.64945681325094,137.0
790.0,83.26320385486962,137.0
800.0,84.6051440324352,136.0
810.0,84.12545540384022,138.0
820.0,84.43113165552977,137.0
830.0,83.34532530970252,138.0
840.0,83.32106469996039,136.0
850.0,83.94482652750523,136.0
860.0,83.854444207608,137.0
870.0,84.4435716654881,135.0
880.0,84.3587981768083,137.0
890.0,83.2273004653659,137.0
900.0,83.22549167961591,137.0
910.0,82.10772315867482,134.0
920.0,81.2854330091609,136.0
930.0,82.05543189666224,135.0
940.0,81.16100200520421,133.0
950.0,80.41735580958114,133.0
960.0,81.06073568380238,136.0
970.0,82.43845849267355,136.0
980.0,79.97459585078222,135.0
990.0,81.36356076624521,138.0
1000.0,79.94112772716332,138.0
