0	 0 0 32.5 32.5 1 1 38.5 32.5 2 2 44.5 32.5 3 3 50.5 32.5 4 4 56.5 32.5 5 5 62.5 32.5 6 6 68.5 32.5 7 7 74.5 32.5 8 8 80.5 32.5 9 9 86.5 32.5 10 10 32.5 38.5 11 11 38.5 38.5 12 12 44.5 38.5 13 13 50.5 38.5 14 14 56.5 38.5 15 15 62.5 38.5 16 16 68.5 38.5 17 17 74.5 38.5 18 18 80.5 38.5 19 19 86.5 38.5 20 20 32.5 44.5 21 21 38.5 44.5 22 22 44.5 44.5 23 23 50.5 44.5 24 24 56.5 44.5 25 25 62.5 44.5 26 26 68.5 44.5 27 27 74.5 44.5 28 28 80.5 44.5 29 29 86.5 44.5 30 30 32.5 50.5 31 31 38.5 50.5 32 32 44.5 50.5 33 33 50.5 50.5 34 34 56.5 50.5 35 35 62.5 50.5 36 36 68.5 50.5 37 37 74.5 50.5 38 38 80.5 50.5 39 39 86.5 50.5 40 40 32.5 56.5 41 41 38.5 56.5 42 42 44.5 56.5 43 43 50.5 56.5 44 44 56.5 56.5 45 45 62.5 56.5 46 46 68.5 56.5 47 47 74.5 56.5 48 48 80.5 56.5 49 49 86.5 56.5 50 50 32.5 62.5 51 51 38.5 62.5 52 52 44.5 62.5 53 53 50.5 62.5 54 54 56.5 62.5 55 55 62.5 62.5 56 56 68.5 62.5 57 57 74.5 62.5 58 58 80.5 62.5 59 59 86.5 62.5 60 60 32.5 68.5 61 61 38.5 68.5 62 62 44.5 68.5 63 63 50.5 68.5 64 64 56.5 68.5 65 65 62.5 68.5 66 66 68.5 68.5 67 67 74.5 68.5 68 68 80.5 68.5 69 69 86.5 68.5 70 70 32.5 74.5 71 71 38.5 74.5 72 72 44.5 74.5 73 73 50.5 74.5 74 74 56.5 74.5 75 75 62.5 74.5 76 76 68.5 74.5 77 77 74.5 74.5 78 78 80.5 74.5 79 79 86.5 74.5 80 80 32.5 80.5 81 81 38.5 80.5 82 82 44.5 80.5 83 83 50.5 80.5 84 84 56.5 80.5 85 85 62.5 80.5 86 86 68.5 80.5 87 87 74.5 80.5 88 88 80.5 80.5 89 89 86.5 80.5 90 90 32.5 86.5 91 91 38.5 86.5 92 92 44.5 86.5 93 93 50.5 86.5 94 94 56.5 86.5 95 95 62.5 86.5 96 96 68.5 86.5 97 97 74.5 86.5 98 98 80.5 86.5 99 99 86.5 86.5
10	 0 0 32.7778 32.5556 1 1 38.6364 32.2727 2 2 44.4286 32.4286 3 3 50.5 32.5 4 4 56.4167 32.8333 5 5 62.3158 32.3947 6 6 68.5946 32.4595 7 7 74.6944 32.3611 8 8 80.1765 32.7059 9 9 86.0625 33.2188 10 10 32.2162 38.8108 11 11 37.75 38.1944 12 12 43.7778 38.1389 13 13 49.8919 38.5946 14 14 56.2778 38.6389 15 15 62.9211 38.3158 16 16 68.6471 38.6176 17 17 74.5278 38.5278 18 18 80.5758 38.5455 19 19 86.4054 38.5676 20 20 32.4545 44.7273 21 21 38.5 44.3529 22 22 44.2368 44.3684 23 23 50.5 44.3529 24 24 56.2571 44.6286 25 25 62 44 26 26 68.6757 44.6486 27 27 74.75 44.5833 28 28 80.5676 44.5946 29 29 86.2727 44.3636 30 30 32.4286 50.4286 31 31 38.5833 50.3611 32 32 44.8947 50.4737 33 33 50.5 50.3158 34 34 56.4286 50.5714 35 35 62.4595 50.2703 36 36 68.4706 50.1176 37 37 74.5278 50.7222 38 38 80.5143 50.3714 39 39 86.6471 50.5588 40 40 32.6486 57.027 41 41 37.8333 55.9167 42 42 44.1351 56.5135 43 43 50.5 56.5 44 44 56.6667 56.5 45 45 62.6842 56.3421 46 46 68.3889 56.1667 47 47 74.2571 56.5143 48 48 80.8333 56.1944 49 49 86.3636 56.2727 50 50 32.4857 62.6 51 51 38.5429 62.2286 52 52 44.5 62.5 53 53 50.6842 62.3421 54 54 56.5714 62.5714 55 55 62.5946 62.8649 56 56 68.2353 62.4706 57 57 74.2195 62.4146 58 58 80.3143 61.9143 59 59 86.7568 62.2162 60 60 32.375 68.2188 61 61 38.6765 68 62 62 44.3846 68.5128 63 63 50.2857 68.4857 64 64 56.4359 68.8205 65 65 62.303 68.3939 66 66 68.4167 68.4167 67 67 74.5 68.5 68 68 80.5946 67.9189 69 69 86.5714 68.4286 70 70 32.1143 74.4571 71 71 37.7632 73.8158 72 72 44.0541 74.4595 73 73 50.9167 74.7778 74 74 56.4286 74.4286 75 75 62.6389 74.4722 76 76 68.4286 74.4286 77 77 74.2368 75.0263 78 78 80.0278 74.5278 79 79 86.0263 73.7895 80 80 32.6 80.2286 81 81 38.0541 80.7838 82 82 44.3243 79.6216 83 83 50 80.75 84 84 56.4722 80.3889 85 85 62.3824 80.3529 86 86 68.3421 80.7895 87 87 74.5143 80.5429 88 88 81.4615 79.8462 89 89 86.6176 80.6471 90 90 32.8235 86.4118 91 91 38.7353 86.3235 92 92 44.2571 86.1714 93 93 50.4167 86.4167 94 94 56.5 86.5 95 95 62.3333 86.3611 96 96 68.2571 86.6286 97 97 74.4054 86.4595 98 98 80.3611 86.5833 99 99 86.1351 86.1622
20	 0 0 33.2 32.7143 1 1 38.9444 32.0278 2 2 44.9714 32.7143 3 3 50.9706 32 4 4 56.7297 33.4054 5 5 62.3429 32.1714 6 6 68.1622 32.8108 7 7 74.0303 32.1818 8 8 79.8824 32.7059 9 9 85.625 33.625 10 10 32.1842 38.2105 11 11 37.9714 38.4 12 12 43.9118 38.0882 13 13 49.9167 38.6667 14 14 56.0571 38.6 15 15 62.3529 38.3235 16 16 68.6923 38.7692 17 17 75.0294 38.0294 18 18 80.1667 38.6667 19 19 86.3333 38.5758 20 20 32.5676 44.5946 21 21 38.3824 44.4706 22 22 44.5833 43.6111 23 23 50.1429 44.9714 24 24 55.5882 44.3824 25 25 62.1579 44.2368 26 26 68.7647 44.5 27 27 74.4595 44.2432 28 28 80.5278 44.6389 29 29 86 43.8529 30 30 32.3529 50.5 31 31 38.9737 50.3684 32 32 44.5135 49.9459 33 33 50.6571 50.8 34 34 56.7059 50.3235 35 35 61.8824 50.0588 36 36 68.1842 49.7895 37 37 74 50.8 38 38 79.9062 49.8438 39 39 85.8571 50.4286 40 40 32.4571 56.6571 41 41 38 56.1667 42 42 44.25 56.0278 43 43 50.5714 56.5714 44 44 56.7368 56.2368 45 45 62.9706 55.9412 46 46 68.9231 56.1795 47 47 74.9143 57.0286 48 48 80.9211 56.1579 49 49 86.6176 55.6471 50 50 32.4286 62.5714 51 51 38.2857 62.0571 52 52 44.7692 62 53 53 51.2368 62.1842 54 54 56.5455 62.7273 55 55 62.6667 61.5556 56 56 67.8857 62.3714 57 57 73.8947 62.9737 58 58 80.1081 61.9459 59 59 86.5676 62.1892 60 60 32.8649 68.4595 61 61 38.7778 67.8889 62 62 44.3077 68.4615 63 63 50.5 68.3529 64 64 56.6667 68.5278 65 65 62.0541 68.3243 66 66 67.8421 68.5526 67 67 74.7838 68.6757 68 68 80.5143 67.9714 69 69 86.6667 68.4444 70 70 31.8056 74.75 71 71 38.0278 74.2778 72 72 44.1515 74.0303 73 73 50.8421 74.2895 74 74 56.3529 74.3824 75 75 62.2778 75.0833 76 76 68.2857 74.5714 77 77 74.1143 74.1143 78 78 80.0556 74.3611 79 79 86.0769 74.1026 80 80 32.8824 80.3824 81 81 38.5714 80.5714 82 82 44.2703 79.2432 83 83 49.3824 80.6471 84 84 55.6757 80.3514 85 85 63.0541 80.3243 86 86 69.1667 80.75 87 87 74.7568 80.3243 88 88 81.1026 80.5641 89 89 86.5714 80.4286 90 90 32.5714 86.4286 91 91 38.3889 86.1667 92 92 44.1333 86.0667 93 93 50.2368 86.2632 94 94 56.4286 86.5714 95 95 61.4211 85.7105 96 96 67.8889 86.6111 97 97 74.2857 86.3143 98 98 80.3429 86.3714 99 99 86.4545 86.4242
30	 0 0 33.1515 33.303 1 1 38.9231 32.1538 2 2 45.4571 32.5143 3 3 51.1429 32.3714 4 4 57.3611 33.7222 5 5 62.7273 32.3636 6 6 68.2222 33.0278 7 7 73.3871 32.2903 8 8 79.1176 32.6471 9 9 85.2162 33.8108 10 10 32.1111 38.5556 11 11 38.1842 39.1316 12 12 43.5676 37.8378 13 13 49.6875 38.5938 14 14 55.5152 38.9091 15 15 62.0857 38.3143 16 16 68.2222 39 17 17 74.6667 38.5278 18 18 80.1176 38.6176 19 19 86.4118 39 20 20 32.8 45.0286 21 21 38.2857 45 22 22 44.5135 43.8649 23 23 50.0294 45.0882 24 24 55.2857 44.5143 25 25 62 44.2973 26 26 68.6765 44.2353 27 27 74.5714 44.4286 28 28 81.0541 44.8649 29 29 86.6765 44.5 30 30 32.3824 50.8235 31 31 38.7059 51.1765 32 32 44.2857 49.4286 33 33 50.6216 51.1622 34 34 56.7273 50.0909 35 35 62.2368 50.3158 36 36 67.9118 49.5882 37 37 73.7297 50.6216 38 38 80.2778 50.1944 39 39 85.9143 50.9143 40 40 32.5429 56.9714 41 41 38.1471 56 42 42 44.6286 56.2286 43 43 50.1429 56.8 44 44 56.7436 56.3333 45 45 62.3235 56.4118 46 46 69.1892 55.973 47 47 75.2571 57.0571 48 48 80.7568 56.3784 49 49 86.697 55.697 50 50 32.2857 62.6 51 51 38.3529 61.8235 52 52 44.4571 61.9143 53 53 51.0811 62.3784 54 54 56.8378 62.7027 55 55 63.7714 60.8286 56 56 68.5714 62.4286 57 57 74.4571 62.5143 58 58 80.6286 62.2 59 59 86.7568 62.3243 60 60 33.2857 68.3714 61 61 39.2353 67.7059 62 62 44.3889 67.6944 63 63 50.5714 68.4286 64 64 56.7568 68.5946 65 65 62.3429 67.9143 66 66 68.325 68.075 67 67 75.2222 67.8333 68 68 81.5 68.8889 69 69 86.8125 68.375 70 70 31.6765 74.4706 71 71 37.7105 73.8684 72 72 44.1143 73.8 73 73 51.3158 74.9737 74 74 56.1429 73.9143 75 75 62.6053 74.2895 76 76 68.4324 74.3784 77 77 74.6857 73.0286 78 78 79.9143 74.8286 79 79 86.5 74.5 80 80 32.7714 80.2571 81 81 38.3714 80.2286 82 82 44.8649 78.2703 83 83 49.5833 80.7222 84 84 56.4474 80.5789 85 85 62.9143 80.1714 86 86 69.6486 80.1081 87 87 74.7143 80.1714 88 88 80.6389 80.4722 89 89 86.6176 80.3529 90 90 32.6364 86.2727 91 91 38.7838 85.3514 92 92 44.0882 85.9118 93 93 50.5946 86 94 94 56.9444 86.8889 95 95 62.3714 85.2 96 96 68.2353 86.3235 97 97 74.5833 86.0278 98 98 80.7188 86.3438 99 99 86.25 86.1944
40	 0 0 33.0556 32.9444 1 1 39.2105 32.1842 2 2 45.5 32.6667 3 3 51.2571 32.4286 4 4 57.8421 34.1316 5 5 62.5152 32.2727 6 6 67.9714 32.8857 7 7 73.2857 32.7143 8 8 79.1714 32.4857 9 9 85.1176 33.8235 10 10 32.1622 38.8649 11 11 37.6389 38.8611 12 12 43.7941 37.7059 13 13 49.8056 38.8333 14 14 55.5882 38.7353 15 15 62.9118 38.8529 16 16 68.2258 38.9677 17 17 74.3235 38.4706 18 18 79.7647 38.6176 19 19 86.0278 39.1389 20 20 32.7188 45.1562 21 21 38.1944 45.1944 22 22 43.6486 43.6486 23 23 49.8286 45.0857 24 24 55.5278 43.9722 25 25 61.8529 44.8529 26 26 68.6471 44.1176 27 27 74.4412 44.3529 28 28 81.0769 45 29 29 86.7812 44.375 30 30 32.5 50.5 31 31 39.5833 52.0556 32 32 44.1515 48.8788 33 33 50.9143 51.2 34 34 56.2353 49.6176 35 35 61.2778 50.6944 36 36 67.4286 49.5714 37 37 73.3243 50.2432 38 38 80.3333 50.0833 39 39 85.2162 51.3243 40 40 32.6757 56.7838 41 41 38.0645 56.0645 42 42 44.8333 55.6667 43 43 49.9167 56.8056 44 44 56.8286 56.6286 45 45 62.4324 56.8378 46 46 68.6316 55.4737 47 47 75.0882 56.8824 48 48 80.3846 56.4103 49 49 87.0556 55.5278 50 50 32.4286 62.4286 51 51 38.3636 61.9091 52 52 44.8649 62.1081 53 53 51.4571 61.8 54 54 56.8649 62.973 55 55 64 61.4167 56 56 68.8857 62.6286 57 57 74.5833 62.25 58 58 80.5455 62.0909 59 59 86.5833 62.4444 60 60 33.6316 68.3684 61 61 39.5938 67.9062 62 62 44.4 67.2571 63 63 50.5 68.3529 64 64 56.9722 68.1111 65 65 62.6286 68.6 66 66 68.6757 68.3514 67 67 75.0286 67.7143 68 68 81.3784 68.5405 69 69 87.4286 68.5714 70 70 31.5946 73.7297 71 71 38.1892 74.2162 72 72 44.0811 73.3784 73 73 50.8333 74.5556 74 74 56.3611 73.5556 75 75 62.303 74.4545 76 76 68.2571 74.2 77 77 74.6286 73.0857 78 78 79.7429 74.5714 79 79 86.2857 74.3143 80 80 32.9737 79.8947 81 81 38.5 80.5 82 82 44.5 79.1316 83 83 49.6486 80.6216 84 84 56.2368 79.9211 85 85 62.9706 79.4118 86 86 69.2632 80.3421 87 87 74.8235 79.7059 88 88 80.9189 80.027 89 89 86.6471 80.5 90 90 32.5758 86.697 91 91 38.475 85.95 92 92 44.5758 85.8485 93 93 51.3714 85.6857 94 94 57.2286 86.6 95 95 62.4167 85.1667 96 96 67.9118 86.0588 97 97 74.4444 85.6944 98 98 80.2 86.5714 99 99 85.6571 85.8571
50	 0 0 34.2778 33.1389 1 1 39.7568 32.5405 2 2 45.6667 32.5833 3 3 51.4688 32.3438 4 4 58.2703 34.3243 5 5 62.0938 31.8438 6 6 67.7778 33.1111 7 7 73.3143 32.4571 8 8 79.5833 32.3056 9 9 85.4571 34.2 10 10 31.7941 38.3824 11 11 37.4595 39.3784 12 12 43.9412 37.8824 13 13 49.9444 38.8611 14 14 55.4848 38.2424 15 15 62.1667 39 16 16 68.5 39.5 17 17 74.1429 38.1143 18 18 79.5676 38.5946 19 19 85.5833 39.5556 20 20 32.2059 45 21 21 38.0588 45.0882 22 22 43.6944 43.3889 23 23 49.5312 45.5938 24 24 54.4324 44.1622 25 25 61.75 44.8333 26 26 68.3056 44.6944 27 27 74.6111 44.5278 28 28 81.1351 44.9459 29 29 87.2941 45.0882 30 30 32.5 50.5 31 31 39.5429 51.9429 32 32 43.9722 49.2222 33 33 51.1471 51.3235 34 34 56.9412 49.4118 35 35 62.1429 50.8571 36 36 67.7188 49.5625 37 37 73.7568 51.0811 38 38 80.7576 49.7273 39 39 85.2778 52.2222 40 40 33.0811 57.4054 41 41 37.8889 55.6111 42 42 45.5556 54.9444 43 43 50.1429 56.9714 44 44 56.8056 56.4167 45 45 62.5714 56.5714 46 46 68.9143 55.9714 47 47 75.1143 57.0571 48 48 79.9143 54.9429 49 49 87.3235 56.4412 50 50 32.303 62.697 51 51 38.8857 61.9143 52 52 45.2778 61.8889 53 53 51.5833 61.75 54 54 56.3143 63.2 55 55 63.2162 61.1081 56 56 68.5294 62.3529 57 57 74.0286 62.8571 58 58 80.6286 61.7714 59 59 86 62.6364 60 60 33.7778 67.9722 61 61 39.4 68.6 62 62 44.3056 67.6389 63 63 50.3824 68.1765 64 64 56.7429 68.2857 65 65 62.5882 68.0294 66 66 68.6579 68.2368 67 67 75.5 67.3333 68 68 81.625 68.35 69 69 87.8056 68.1389 70 70 31.8182 72.9091 71 71 37.7778 74.75 72 72 44.1176 73.4706 73 73 50.1053 74.4211 74 74 56.7838 73.4595 75 75 62.6364 75.0303 76 76 67.7568 73.8649 77 77 74.0811 73.1892 78 78 80.1316 74.3684 79 79 86.4865 74.5946 80 80 32.7714 79.8286 81 81 38.6471 80.3824 82 82 44.3889 79.4167 83 83 49.7059 81 84 84 55.8889 79.3611 85 85 62.3939 79.697 86 86 69.4737 80.2632 87 87 75.0857 79.4286 88 88 80.9706 80.5 89 89 86.6571 80.7429 90 90 32.3333 86.1212 91 91 37.6757 86.0541 92 92 44.0811 85.5676 93 93 51.6216 85.2703 94 94 57.4848 85.8485 95 95 62.8286 84.8857 96 96 67.8235 86.3235 97 97 74.5714 85.0286 98 98 79.8788 86.697 99 99 85.7838 86.3243
60	 0 0 34.6486 33.5135 1 1 39.7353 32.4706 2 2 45.4286 32.4286 3 3 51.7568 32.3784 4 4 58.3889 34.9167 5 5 61.8235 31.7941 6 6 68.3667 33.0333 7 7 73.5455 31.6061 8 8 80.3143 32.6 9 9 85.4857 34.1714 10 10 31.8857 38.2 11 11 38.25 39.8889 12 12 43.4545 37.7273 13 13 50.2222 38.7222 14 14 55.5556 38.75 15 15 63.3611 37.8889 16 16 68.8056 39.8333 17 17 74.1622 36.8919 18 18 79.4571 39.1143 19 19 85.5278 39.6944 20 20 32.2571 44.8286 21 21 37.9062 45.2812 22 22 44.1429 43.1429 23 23 48.6286 45.2857 24 24 54.8889 44.5556 25 25 61.5484 44.7097 26 26 67.9444 43.7778 27 27 74.7647 44.1765 28 28 80.4737 45.0789 29 29 87.2941 45.2059 30 30 32.2286 50.2 31 31 39.2121 51.303 32 32 44.2895 49.6842 33 33 51.1053 50.8684 34 34 57.1471 49.8824 35 35 62.8378 51.027 36 36 67.4444 48.8333 37 37 73.4054 50.9189 38 38 80.8056 49.8056 39 39 84.2857 53.6 40 40 33.3243 57.2162 41 41 37.6667 55.4167 42 42 43.6875 56.75 43 43 49.8889 56.6111 44 44 56.4054 56.4865 45 45 62.0625 55.75 46 46 68.7436 56.1026 47 47 74.8889 56.9444 48 48 80.75 54.1944 49 49 87.3333 56.6111 50 50 32.3158 62.1579 51 51 39.027 62.8108 52 52 45.4545 61.5758 53 53 51.5143 61.5714 54 54 56 63.3333 55 55 62.7568 61.2432 56 56 68.8205 62.2051 57 57 73.6111 63.5833 58 58 80.5 62.1667 59 59 85.8611 62.8611 60 60 33.6216 67.8919 61 61 39.8 69.6 62 62 44.5429 67.3143 63 63 50.2571 68.4571 64 64 56.8108 68.2703 65 65 63 68 66 66 68.6216 68.8378 67 67 76.1818 67.5758 68 68 82.0882 68.5294 69 69 88.1471 67.6765 70 70 31.8788 73.1515 71 71 37.7143 74.5714 72 72 44.5946 73.8919 73 73 50.3824 74.6471 74 74 56.5143 73.6 75 75 62.4286 74.1143 76 76 68.3824 74.3529 77 77 74.3784 73 78 78 79.4324 75.0811 79 79 86.3684 73.9474 80 80 32.7429 79.8286 81 81 38.1143 80.3714 82 82 44.0263 80.3684 83 83 49.75 80.6562 84 84 56.3056 78.8056 85 85 62.3824 79.8824 86 86 68.8462 81.3333 87 87 74.1471 79.1176 88 88 81.1081 79.8378 89 89 86.5 80.5 90 90 32.6667 86.1212 91 91 38.2353 85.8824 92 92 44.697 85.8485 93 93 51.3889 85.3611 94 94 57.4 85.5714 95 95 62.5588 85.0882 96 96 67.2727 86.9697 97 97 74.4571 84.9143 98 98 79.9706 86.5882 99 99 85.5 85.7778
70	 0 0 35.5758 34.1212 1 1 39.8182 32.4545 2 2 45.4706 32.3235 3 3 51.9143 32.3429 4 4 58.5882 35.0294 5 5 61.8286 31.6286 6 6 68.5135 33.7297 7 7 73.2353 31.4412 8 8 80.4857 32.3143 9 9 85.7812 34.5312 10 10 31.9394 37.9697 11 11 38.0857 40.2286 12 12 43.3548 37.9032 13 13 49.4865 37.7838 14 14 55.4286 38.4286 15 15 63.3056 38.3056 16 16 69.0294 40.1176 17 17 74.4722 37.1389 18 18 80.2 38.1143 19 19 85.0882 40.9706 20 20 32.3529 44.5 21 21 38 45.3235 22 22 44.6 43.4 23 23 49.1562 45.0938 24 24 55.25 43.5833 25 25 61.8438 45 26 26 68.2286 44.2571 27 27 74.9091 44.0909 28 28 80.0769 44.7179 29 29 87.1944 45.8056 30 30 32.4722 50.5278 31 31 39.7812 51.2812 32 32 44.0882 49.2353 33 33 50.7805 50.5366 34 34 56.8788 49 35 35 61.9714 50.9429 36 36 67.0606 49.1212 37 37 72.8333 50.5 38 38 79.7838 49.8378 39 39 84.1111 54.6111 40 40 33.3235 56.8824 41 41 37.9429 55.2286 42 42 43.5676 56.8108 43 43 50.0588 56.3235 44 44 56.2778 56.1389 45 45 62.5128 56.0256 46 46 69 55.973 47 47 74.5833 57.1667 48 48 81.3889 53.5278 49 49 87.8824 56.6765 50 50 32.1714 61.6571 51 51 38.4737 62.9737 52 52 45.6944 61.8611 53 53 51.4286 61.4286 54 54 55.8182 62.9091 55 55 62.7632 61.3421 56 56 68.6389 62.5 57 57 72.8333 64.8889 58 58 79.7222 61.2778 59 59 85.2703 62.6757 60 60 33.3714 67.4571 61 61 39.2424 69.2727 62 62 44.1111 67.4444 63 63 50.5833 68.4722 64 64 56.9429 67.5429 65 65 62.7353 67.7647 66 66 67.4286 69.6286 67 67 76.2432 67 68 68 81.8378 68.4865 69 69 88.0571 67.5714 70 70 31.9412 72.9118 71 71 38.7714 75 72 72 44.6389 73.4722 73 73 50.4286 74.4286 74 74 56.5 73.3529 75 75 62.2121 74.1212 76 76 68.5152 74.697 77 77 74.2222 72.8611 78 78 79.3684 75.0789 79 79 86.3421 73.8421 80 80 33.3684 78.8421 81 81 38.2778 80.2778 82 82 44.0857 80.3429 83 83 49.2059 81.2059 84 84 55.8718 78.4615 85 85 62.2222 79.9444 86 86 68.4857 81.9143 87 87 73.6364 78.8182 88 88 81.6216 79.7838 89 89 86.8333 80.6389 90 90 32.4545 86.5758 91 91 37.7273 85.4242 92 92 44.6471 86.2059 93 93 52.1111 85.1667 94 94 57.5484 85.129 95 95 62.1429 85.5143 96 96 67.5714 87.1429 97 97 74.4167 83.8333 98 98 79.2051 86.4359 99 99 84.9688 86.2812
80	 0 0 35.7576 35.0606 1 1 39.6176 32.3529 2 2 45.5 32.5 3 3 51.9118 32.0588 4 4 58.7778 35.5 5 5 61.9375 31.8125 6 6 68.1081 34.2432 7 7 73.2647 31.5588 8 8 79.5429 32.9429 9 9 85.6471 34.3824 10 10 31.7143 37.1714 11 11 38.4706 40.7941 12 12 43.5882 37.5882 13 13 49.9444 38.2778 14 14 55.5 38 15 15 64.2647 38.9706 16 16 69.3636 40 17 17 74.6471 37.0882 18 18 80.9143 38.6571 19 19 85.1714 41.4571 20 20 32.2857 44.1429 21 21 37.8529 45.9412 22 22 44.2059 43.2647 23 23 49.3429 45.5429 24 24 54.7429 43.6286 25 25 61.4286 45.5714 26 26 66.4571 43.2857 27 27 74.7568 43.973 28 28 79.7353 45 29 29 87.1429 46.0286 30 30 32.3429 50.6571 31 31 39.1389 50.9722 32 32 44.7143 50 33 33 50.8125 51 34 34 56.3143 49.3143 35 35 62 51.5 36 36 67.2727 48.4545 37 37 72.2973 50.6486 38 38 80.5 50 39 39 85.2895 53.3947 40 40 33.6757 56.7838 41 41 38.6129 55.9355 42 42 44.4375 56.0312 43 43 50.3143 56.4571 44 44 56.9714 56.3143 45 45 63.0909 56.1515 46 46 68.8205 56.1282 47 47 74.6 57.3714 48 48 78.9412 54.2353 49 49 88.0278 56.9722 50 50 32.2571 61.6857 51 51 38.3243 62.5405 52 52 45.6389 61.8333 53 53 51 61.8056 54 54 55.9167 62.9167 55 55 62.4848 61.2727 56 56 68.7429 62.2286 57 57 73.0541 64.5135 58 58 80.1622 60.8919 59 59 84.7778 62.6944 60 60 33.3529 67.3824 61 61 39.2222 69.3889 62 62 44.0286 66.7143 63 63 50.6857 68.5143 64 64 57.3243 67.6216 65 65 62.9333 67.2 66 66 67.1714 69.3143 67 67 76.6 67.4571 68 68 82.1316 68.7105 69 69 87.9706 67.5294 70 70 32.4286 72.5714 71 71 38.2286 75.1143 72 72 43.8788 72.8485 73 73 50 74.2162 74 74 56.3529 73.5 75 75 62.2632 73.8421 76 76 68.6571 75.0286 77 77 73.8 71.7429 78 78 79.3889 74.8611 79 79 86.2632 74.1316 80 80 33.1143 80.1429 81 81 37.8387 79.9677 82 82 44.4211 79.6579 83 83 49.0968 80.8065 84 84 55.2222 78.6389 85 85 62.3939 79.5152 86 86 68 82.0526 87 87 73.4722 78.25 88 88 80.7297 79.8108 89 89 86.7714 80.5714 90 90 32.0882 86.4706 91 91 37.8889 84.8333 92 92 44.3056 86.1389 93 93 52.027 84.8378 94 94 57.5758 84.4242 95 95 62.1622 85.9189 96 96 68.3529 87.2647 97 97 74.4857 84.1143 98 98 79.1892 86.5676 99 99 84.4118 85.6471
90	 0 0 35.6111 35.7222 1 1 39.6857 32.5143 2 2 45.5641 32.9487 3 3 51.9429 32.0286 4 4 58.5938 35.1562 5 5 61.5882 31.7353 6 6 67.5946 33.7027 7 7 73.8889 31.9444 8 8 80 33 9 9 85.4118 34 10 10 31.6452 37.4516 11 11 38.0556 41.1944 12 12 43.6176 38 13 13 50.2432 38.4324 14 14 55.9118 38.5882 15 15 64.7297 38.8108 16 16 69.7188 40.0938 17 17 74.05 37.3 18 18 81.25 38.8333 19 19 85.1515 41.4242 20 20 33.0882 44.2647 21 21 38.4848 46.7879 22 22 44.4848 43.7273 23 23 49.4194 45.6774 24 24 54.1212 43 25 25 61.6562 45.7188 26 26 65.6667 43.4359 27 27 74.7576 43.9394 28 28 79.8611 45.1389 29 29 87.1765 46 30 30 32.6875 49.9688 31 31 39 51.7879 32 32 45 49.6452 33 33 50.5789 51.2368 34 34 56.4324 49.2973 35 35 62.5152 51.5455 36 36 67.1429 47.9714 37 37 72.9459 50.8919 38 38 80.9118 50.1176 39 39 85.3611 53.1944 40 40 32.8824 55.9706 41 41 38.6875 56.75 42 42 43.8 56.3714 43 43 50.4571 56.3714 44 44 56.6154 56 45 45 63.4286 56.6857 46 46 68.7222 55.6944 47 47 74.7353 57.5294 48 48 78.7429 54.4571 49 49 88.0278 57.1111 50 50 32.0588 61.9706 51 51 37.8485 61.8788 52 52 45.7647 61.9412 53 53 50.9143 62.2571 54 54 55.8857 63.6286 55 55 61.7632 61.0263 56 56 69.0857 62.2286 57 57 73.1111 64.6389 58 58 79.6857 60.9143 59 59 85.0625 61.9375 60 60 33.7895 67.5263 61 61 39.1212 69.1515 62 62 43.4324 66.2703 63 63 50.8 68.8571 64 64 57.8056 68.1389 65 65 63.1212 66.8485 66 66 68.5758 68.8485 67 67 76.8 67.4286 68 68 82.2286 67.2286 69 69 87.2353 68 70 70 31.4865 72.4324 71 71 38.4706 74.9412 72 72 44 72.4412 73 73 49.5833 74.2778 74 74 56.6389 73.6667 75 75 63.1282 73.5385 76 76 68.3333 75.4722 77 77 74.3438 72.6875 78 78 79.7059 74.2941 79 79 86.1111 73.8889 80 80 33.3611 80.4167 81 81 37.5758 79.3333 82 82 44.7429 79.4571 83 83 49.6364 80.7879 84 84 55.0294 78.3529 85 85 62.1471 79.2941 86 86 68.3333 82.4722 87 87 73.4865 78.1892 88 88 80.5278 79.4167 89 89 86.7838 80.027 90 90 32.2571 86.0571 91 91 39.2703 84.5946 92 92 44.0882 86.0588 93 93 52.0278 85.0833 94 94 57.8056 84.3056 95 95 62.4865 85.9189 96 96 68.6765 87.4412 97 97 75.3077 83.8462 98 98 79 87 99 99 84.2727 85.0909
