time,heterotypic_voronoi_length,heterotypic_connections
0.0,11.840913415312945,19.0
1.0,13.773477248225195,20.0
2.0,14.40022633801317,22.0
3.0,15.655088839095235,25.0
4.0,15.763733526201307,25.0
5.0,17.15794942836584,25.0
6.0,17.7904131239274,27.0
7.0,18.0776178416851,27.0
8.0,18.309863863399094,29.0
9.0,18.991925794010058,30.0
10.0,19.916096132474454,31.0
11.0,20.026542973316243,31.0
12.0,20.305717201905306,31.0
13.0,20.58361174019146,31.0
14.0,20.487229733872912,31.0
15.0,20.415122855881748,31.0
16.0,20.138526491531962,31.0
17.0,20.217446693176413,31.0
18.0,20.57208652789062,31.0
19.0,20.55717616846688,31.0
20.0,20.56819497648696,31.0
21.0,20.511217920219302,31.0
22.0,21.268110944952493,31.0
23.0,20.382879649689805,31.0
24.0,20.501811950738254,31.0
25.0,20.607238290631713,31.0
26.0,20.560265361832027,31.0
27.0,20.731974109546474,30.0
28.0,21.54208540678952,32.0
29.0,21.438033239651112,32.0
30.0,22.562037972394993,32.0
31.0,23.23479252715788,32.0
32.0,23.195722265884722,32.0
33.0,23.386147378443987,32.0
34.0,23.222050456137215,33.0
35.0,22.94019693818109,32.0
36.0,23.122828867010323,32.0
37.0,23.463302886402587,32.0
38.0,23.63338644049621,31.0
39.0,23.813334906227947,31.0
40.0,23.128683845325163,32.0
41.0,23.231797758513927,32.0
42.0,23.91172543523227,31.0
43.0,24.265382778491592,33.0
44.0,24.182589333785565,33.0
45.0,25.00608099153032,33.0
46.0,24.77202708534962,34.0
47.0,25.140129669815952,34.0
48.0,24.975162716539312,34.0
49.0,25.01480094579628,35.0
50.0,25.396461147132932,35.0
51.0,25.359157476089898,35.0
52.0,25.398597497284126,35.0
53.0,25.497122640121503,35.0
54.0,25.608384183557312,35.0
55.0,25.551028573849617,35.0
56.0,25.613112825931644,36.0
57.0,25.697957173330234,35.0
58.0,25.622512291237726,35.0
59.0,25.773942962862215,35.0
60.0,25.890656582923782,36.0
61.0,25.786554402464997,35.0
62.0,25.6900491638795,36.0
63.0,25.474295424130087,35.0
64.0,25.842216768326555,35.0
65.0,26.16616781383521,35.0
66.0,25.861049206469428,35.0
67.0,25.75718823783268,36.0
68.0,25.513564154013014,35.0
69.0,25.6601423255897,35.0
70.0,25.649117986170904,35.0
71.0,25.687799549819882,35.0
72.0,25.863447815786127,35.0
73.0,25.554579715305906,35.0
74.0,25.42714975017237,35.0
75.0,25.578173715138366,36.0
76.0,25.649083183144107,35.0
77.0,25.48495493258857,35.0
78.0,25.514611423116083,35.0
79.0,25.700687453777554,36.0
80.0,25.852216378106615,35.0
81.0,25.619291945996043,35.0
82.0,25.582793518202557,35.0
83.0,25.747472684213154,35.0
84.0,25.686998180960515,35.0
85.0,25.828792379207126,36.0
86.0,26.02512281958254,35.0
87.0,25.764424098947877,35.0
88.0,25.985284369677327,35.0
89.0,25.600716507592686,35.0
90.0,25.495499638409225,35.0
91.0,25.79352864324457,35.0
92.0,25.653203935073066,35.0
93.0,25.28853456662248,35.0
94.0,26.195757453917288,36.0
95.0,26.26152972735644,35.0
96.0,26.07987998173095,35.0
97.0,26.3793531800048,36.0
98.0,26.14896372126081,36.0
99.0,26.44517712299421,37.0
100.0,26.10092742083204,36.0
