time,heterotypic_voronoi_length,heterotypic_connections
0.0,92.95481426682296,150.0
1.0,65.10615442936927,130.0
2.0,56.48990871732022,115.0
3.0,53.49503721156855,108.0
4.0,51.07048136845858,102.0
5.0,47.8662431260537,99.0
6.0,48.39396981410287,99.0
7.0,45.93252770554098,95.0
8.0,46.40061398935715,96.0
9.0,44.87789003296774,92.0
10.0,44.482295399755046,90.0
11.0,44.36396785156422,88.0
12.0,43.3113750949693,87.0
13.0,43.95218521270868,87.0
14.0,44.79469177435398,87.0
15.0,44.63677094911521,87.0
16.0,44.575132215345704,87.0
17.0,44.26956449636995,87.0
18.0,44.50787659504926,86.0
19.0,43.92689544606367,86.0
20.0,44.13932019582138,86.0
21.0,44.02939993799383,86.0
22.0,44.359125821439385,85.0
23.0,43.87535329159681,86.0
24.0,43.67911316310272,85.0
25.0,43.9966915673376,85.0
26.0,44.343896498329094,86.0
27.0,44.14286849254879,85.0
28.0,43.996145617406476,85.0
29.0,43.636890847799314,85.0
30.0,43.4341091165815,85.0
31.0,43.38720419274795,85.0
32.0,43.341501404515355,85.0
33.0,43.103405442021874,85.0
34.0,42.319963513326655,84.0
35.0,42.60951237790689,83.0
36.0,42.868129270822315,85.0
37.0,42.69411409908334,84.0
38.0,42.719305871361115,85.0
39.0,43.15022441710443,85.0
40.0,42.29292395858639,83.0
41.0,42.80999103178486,84.0
42.0,42.887117931531215,83.0
43.0,43.89344749060591,85.0
44.0,43.030717946406696,84.0
45.0,42.50667431992576,83.0
46.0,42.75857358511431,84.0
47.0,42.594845381789085,84.0
48.0,42.28490793168625,84.0
49.0,43.40055227496821,85.0
50.0,43.17983286569474,85.0
51.0,43.78324670112785,85.0
52.0,43.83961792950109,85.0
53.0,43.58669458367124,85.0
54.0,43.64530037568831,85.0
55.0,43.60033533533881,85.0
56.0,43.40500520630097,85.0
57.0,43.955366769775665,85.0
58.0,42.51462759878184,83.0
59.0,43.12291041220974,85.0
60.0,42.94012917664831,84.0
61.0,43.360808510689715,85.0
62.0,41.96925416823145,83.0
63.0,43.172051013798516,85.0
64.0,42.671360354675144,84.0
65.0,43.402258210025195,84.0
66.0,43.248627873682615,84.0
67.0,43.493808019430375,84.0
68.0,43.55605411445959,84.0
69.0,42.57047430912138,83.0
70.0,42.24570032761867,83.0
71.0,41.84531270871376,82.0
72.0,43.16293449123876,84.0
73.0,42.675965250633915,84.0
74.0,42.69373804146617,83.0
75.0,42.99659166902033,84.0
76.0,42.642907157951676,83.0
77.0,42.76412647324549,84.0
78.0,43.52244981488197,84.0
79.0,42.91845862299734,84.0
80.0,42.90440547406742,84.0
81.0,42.73919561188835,84.0
82.0,42.5698176090424,83.0
83.0,42.27351226218477,83.0
84.0,42.56294908080268,84.0
85.0,42.19657460590654,83.0
86.0,42.232944435055174,83.0
87.0,42.776347580903625,83.0
88.0,42.37885816343473,83.0
89.0,42.69860789372508,83.0
90.0,42.82521167509667,83.0
91.0,42.455647220295994,82.0
92.0,43.658845431056015,84.0
93.0,43.01099238982833,84.0
94.0,42.47194733541814,82.0
95.0,42.60622128214078,83.0
96.0,42.50889641912284,82.0
97.0,42.53945116849939,84.0
98.0,43.30173467641992,84.0
99.0,43.820030753243294,84.0
100.0,43.069191421869704,84.0
